id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,,model_no
1240256,21,"-37.804633940884784, 144.9663703776215",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.80463394,144.9663703776215,,,,1,1,0,,,,,,"{""coordinates"": [144.9663703776215, -37.804633940884784], ""type"": ""Point""}",0,5.94289029,342,Signage,Sign - Public Transport,16844,,522527,,Sign - Public Transport 1 Panel,1240256,20524,,P.16
1254737,21,"-37.83299002899975, 144.97293669624193",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.83299003,144.97293669624193,,,,1,1,0,,,,,,"{""coordinates"": [144.97293669624193, -37.83299002899975], ""type"": ""Point""}",0,11.54086253,350,Signage,Sign - Public Transport,17605,,639648,,Sign - Public Transport 1 Panel,1254737,22708,,P.16
1240314,21,"-37.80111524772101, 144.96674878780823",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.80111525,144.96674878780823,,,,1,1,0,,,,,,"{""coordinates"": [144.96674878780823, -37.80111524772101], ""type"": ""Point""}",0,5.22849577,179,Signage,Sign - Public Transport,17860,,106109,,Sign - Public Transport 1 Panel,1240314,20530,,P.16
1345004,21,"-37.82403291338346, 144.97056844604276",Sign - Public Transport 1 Panel Bus Stop Type 12,,,,-37.82403291,144.97056844604276,,,,1,1,0,,,,,,"{""coordinates"": [144.97056844604276, -37.82403291338346], ""type"": ""Point""}",0,39.68297552,206,Signage,Sign - Public Transport,19359,,540075,,Sign - Public Transport 1 Panel,1345004,22466,,P.16
1233408,21,"-37.79412896547033, 144.96811766271057",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79412897,144.96811766271057,,,,1,1,0,,,,,,"{""coordinates"": [144.96811766271057, -37.79412896547033], ""type"": ""Point""}",0,49.91185911,140,Signage,Sign - Public Transport,26046,,522611,,Sign - Public Transport 1 Panel,1233408,20538,,P.16
1256151,21,"-37.80823830232059, 144.94862350162495",Sign - Public Transport 1 Panel Bus Stop Type 11,,,,-37.8082383,144.94862350162495,,,,1,1,0,,,,,,"{""coordinates"": [144.94862350162495, -37.80823830232059], ""type"": ""Point""}",0,26.06071423,124,Signage,Sign - Public Transport,27002,,108936,,Sign - Public Transport 1 Panel,1256151,21651,,P.16
1251688,21,"-37.8032564323768, 144.9495344838827",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80325643,144.9495344838827,,,,1,1,0,,,,,,"{""coordinates"": [144.9495344838827, -37.8032564323768], ""type"": ""Point""}",0,10.78174874,176,Signage,Sign - Public Transport,37223,,103419,,Sign - Public Transport 1 Panel,1251688,20992,,P.16
1560878,21,"-37.84112272045477, 144.98584971613218",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.84112272,144.98584971613218,,,,1,1,0,,,,,,"{""coordinates"": [144.98584971613218, -37.84112272045477], ""type"": ""Point""}",0,13.50218119,87,Signage,Sign - Public Transport,37335,,107803,,Sign - Public Transport 1 Panel,1560878,22485,,P.16
1231165,21,"-37.8137522630152, 144.96027134357547",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.81375226,144.96027134357547,,,,1,1,0,,,,,,"{""coordinates"": [144.96027134357547, -37.8137522630152], ""type"": ""Point""}",0,27.03952622,200,Signage,Sign - Public Transport,38355,,655044,,Sign - Public Transport 1 Panel,1231165,20175,,P.16
1251191,21,"-37.80299443103376, 144.94943962445097",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80299443,144.94943962445097,,,,1,1,0,,,,,,"{""coordinates"": [144.94943962445097, -37.80299443103376], ""type"": ""Point""}",0,13.28562306,115,Signage,Sign - Public Transport,40452,,107995,,Sign - Public Transport 1 Panel,1251191,20999,,P.16
1247064,21,"-37.818381951580605, 144.95640938337968",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81838195,144.95640938337968,,,,1,1,0,,,,,,"{""coordinates"": [144.95640938337968, -37.818381951580605], ""type"": ""Point""}",0,22.6165292,172,Signage,Sign - Public Transport,43437,,587898,,Sign - Public Transport 1 Panel,1247064,20120,,P.16
1252668,21,"-37.809751877544066, 144.95544537030668",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80975188,144.95544537030668,,,,1,1,0,,,,,,"{""coordinates"": [144.95544537030668, -37.809751877544066], ""type"": ""Point""}",0,34.30768912,217,Signage,Sign - Public Transport,43508,,102941,,Sign - Public Transport 1 Panel,1252668,21529,,P.16
1581210,21,"-37.7874453383767, 144.92185552555435",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78744534,144.92185552555435,,,,1,1,0,,,,,,"{""coordinates"": [144.92185552555435, -37.7874453383767], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,303,,0,,Sign - Public Transport 1 Panel,1581210,23147,,P.16
1237228,21,"-37.81101801255496, 144.95912232576214",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81101801,144.95912232576214,,,,1,1,0,,,,,,"{""coordinates"": [144.95912232576214, -37.81101801255496], ""type"": ""Point""}",0,21.70019438,280,Signage,Sign - Public Transport,2416,,527567,,Sign - Public Transport 1 Panel,1237228,20024,,P.16
1239188,21,"-37.83058895642065, 144.9650184564616",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.83058896,144.9650184564616,,,,1,1,0,,,,,,"{""coordinates"": [144.9650184564616, -37.83058895642065], ""type"": ""Point""}",0,73.39741779,77,Signage,Sign - Public Transport,5923,,110628,,Sign - Public Transport 1 Panel,1239188,22116,,P.16
1245016,21,"-37.82145285696462, 144.9209121892264",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82145286,144.9209121892264,,,,1,1,0,,,,,,"{""coordinates"": [144.9209121892264, -37.82145285696462], ""type"": ""Point""}",0,23.65519742,197,Signage,Sign - Public Transport,6336,,110594,,Sign - Public Transport 1 Panel,1245016,22159,,P.16
1244808,21,"-37.82623998153476, 144.91149945587298",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82623998,144.91149945587298,,,,1,1,0,,,,,,"{""coordinates"": [144.91149945587298, -37.82623998153476], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,6530,,0,,Sign - Public Transport 1 Panel,1244808,22164,,P.16
1578570,21,"-37.80272091766867, 144.92513555545514",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.80272092,144.92513555545514,,,,1,1,0,,,,,,"{""coordinates"": [144.92513555545514, -37.80272091766867], ""type"": ""Point""}",0,90.53917343,158,Signage,Sign - Public Transport,7745,,110970,,Sign - Public Transport 1 Panel,1578570,21680,,P.16
1244952,21,"-37.83016114540094, 144.90032361713372",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.83016115,144.90032361713372,,,,1,1,0,,,,,,"{""coordinates"": [144.90032361713372, -37.83016114540094], ""type"": ""Point""}",0,30.36664489,325,Signage,Sign - Public Transport,8770,,617233,,Sign - Public Transport 1 Panel,1244952,22168,,P.16
1253133,21,"-37.792625873556105, 144.9707824588029",Sign - Public Transport 1 Panel Bus Stop Type 11,,,,-37.79262587,144.9707824588029,,,,1,1,0,,,,,,"{""coordinates"": [144.9707824588029, -37.792625873556105], ""type"": ""Point""}",0,63.9429482,349,Signage,Sign - Public Transport,8772,,600791,,Sign - Public Transport 1 Panel,1253133,20643,,P.16
1232894,21,"-37.823481893825324, 144.9606983135566",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82348189,144.9606983135566,,,,1,1,0,,,,,,"{""coordinates"": [144.9606983135566, -37.823481893825324], ""type"": ""Point""}",0,31.49553995,294,Signage,Sign - Public Transport,10941,,539457,,Sign - Public Transport 1 Panel,1232894,22057,,P.16
1257294,21,"-37.82190993188825, 144.93242660517498",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82190993,144.93242660517498,,,,1,1,0,,,,,,"{""coordinates"": [144.93242660517498, -37.82190993188825], ""type"": ""Point""}",561106,12.03928279,167,Signage,Sign - Public Transport,12063,,561106,,Sign - Public Transport 1 Panel,1257294,0,,P.16
1579768,21,"-37.79540178497472, 144.95784312709472",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.79540178,144.95784312709472,,,,1,1,0,,,,,,"{""coordinates"": [144.95784312709472, -37.79540178497472], ""type"": ""Point""}",0,9.30560783,187,Signage,Sign - Public Transport,13613,,108458,,Sign - Public Transport 1 Panel,1579768,22363,,P.16
