id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: GIS_ID,Custom Field: DESCRIPTION_BIKE,Custom Field: ASSET_CLASS,Custom Field: ASSET_TYPE,Custom Field: MODEL_NO,Custom Field: MODEL_DESCR,Custom Field: DIVISION,Custom Field: COMPANY,Custom Field: CONDITION_RATING,Custom Field: EVALUATION_DATE,Custom Field: EASTING,Custom Field: NORTHING,Custom Field: UploadDate
1074404,21,"-37.799673073904934, 144.9672279752329","Lygon Street between Grattan Street and Faraday Street approximately 6m NW of 310 Lygon Street, Carlton, 3053",,,,-37.79967307,144.9672279752329,,,0,Bicycle Rails,1,1,,,,,,1074404,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.17,30/4/2021,321034.22,5814465.03,14/8/2021
1751502,21,"-37.798761507932866, 144.96895017191997","Faraday Street between Rathdowne Street and Drummond Street approximately 8m South of CMY, 304 Drummond Street, Carlton, 3053",,,,-37.79876151,144.96895017191997,,,0,Bicycle Rails,1,1,,,,,,1751502,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.11,30/4/2021,321183.66,5814569.48,14/8/2021
1477526,21,"-37.80215455195577, 144.95975499958718","Pelham Street between Leicester Street and Barry Street approximately 48m East of 83 Barry Street, Carlton, 3053",,,,-37.80215455,144.95975499958718,,,0,Bicycle Rails,1,1,,,,,,1477526,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.12,30/4/2021,320382.24,5814175.33,14/8/2021
1528490,21,"-37.79885249315714, 144.96806012074734","Faraday Street between Drummond Street and Lygon Street approximately 13m East of Museo Italiano, Gnd & Flr1, 199 Faraday Street, Carlton, 3053",,,,-37.79885249,144.96806012074734,,,0,Bicycle Rails,1,1,,,,,,1528490,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.53,30/4/2021,321105.51,5814557.68,14/8/2021
1744928,21,"-37.79841491628567, 144.96870992400582","Drummond Street between Faraday Street and Elgin Street approximately 5m NE of Masani's Italian Dining & Terrace, 313-315 Drummond Street, Carlton, 3053",,,,-37.79841492,144.96870992400582,,,0,Bicycle Rails,1,1,,,,,,1744928,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.18,30/4/2021,321161.67,5814607.48,14/8/2021
1074914,21,"-37.80509195266246, 144.9602864716009","Intersection of Leicester Street and Berkeley Street approximately 29m SE of Diabetes Victoria, Ground, 51 Leicester Street, Carlton, 3053",,,,-37.80509195,144.9602864716009,,,0,Bicycle Rails,1,1,,,,,,1074914,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.96,30/4/2021,320436.15,5813850.4,14/8/2021
1755779,21,"-37.797590546344914, 144.96432238662575","Swanston Street between Faraday Street and Elgin Street approximately 27m West of 796 Swanston Street, Carlton, 3053",,,,-37.79759055,144.96432238662575,,,0,Bicycle Rails,1,1,,,,,,1755779,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320773.35,5814690.55,14/8/2021
1751646,21,"-37.80277082726768, 144.96709477053403","Pelham Street between Drummond Street and Lygon Street approximately 7m SW of 66 Pelham Street, Carlton, 3053",,,,-37.80277083,144.96709477053403,,,0,Bicycle Rails,1,1,,,,,,1751646,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.12,30/4/2021,321029.97,5814121.03,14/8/2021
1798312,21,"-37.79632543689979, 144.97298789284835","Canning Street between Palmerston Street and Pitt Street approximately 13m South of 113 Canning Street, Carlton, 3053",,,,-37.79632544,144.97298789284835,,,0,Bicycle Rails,1,1,,,,,,1798312,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,5.0,30/4/2021,321533.32,5814847.52,14/8/2021
1588691,21,"-37.79594883433451, 144.97417678376686","Station Street between Palmerston Street and Kay Street approximately 5m East of 69 Station Street, Carlton, 3053",,,,-37.79594883,144.97417678376686,,,0,Bicycle Rails,1,1,,,,,,1588691,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321637.1,5814891.58,14/8/2021
1473552,21,"-37.79744175658628, 144.97114742680589","Elgin Street between Canning Street and Rathdowne Street approximately 6m SW of CommandFix, 106 Elgin Street, Carlton, 3053",,,,-37.79744176,144.97114742680589,,,0,Bicycle Rails,1,1,,,,,,1473552,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.92,30/4/2021,321373.95,5814720.13,14/8/2021
1770423,21,"-37.80490459013851, 144.9615506650101","Bouverie Street between Victoria Street and Queensberry Street approximately 3m East of Bouverie Dental, 69 Bouverie Street, Carlton, 3053",,,,-37.80490459,144.9615506650101,,,0,Bicycle Rails,1,1,,,,,,1770423,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320547.0,5813873.62,14/8/2021
