census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2023,15,103326,103326,Carlow House 281-291 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Osaka Bench,"Shop 6, 289 Flinders Lane MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,12,144.96493307630843,-37.81718670675,"{'lon': 144.96493307630843, 'lat': -37.81718670675}"
2023,15,109263,109263,31-41 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Swanston Halal Food Centre,"Part Shop 2B, Ground 37 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,35,144.96670433318764,-37.81674246265,"{'lon': 144.96670433318764, 'lat': -37.81674246265}"
2023,16,104018,104018,172-192 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Axil Coffee Roasters (Flinders Gate),Ground 172 Flinders Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,14,144.96856313995937,-37.8166026714,"{'lon': 144.96856313995937, 'lat': -37.8166026714}"
2023,16,104018,104018,172-192 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Hub Flinders Street,Level 7 172 Flinders Street MELBOURNE VIC 3000,6712,Non-Residential Property Operators,Seats - Indoor,111,144.96856313995937,-37.8166026714,"{'lon': 144.96856313995937, 'lat': -37.8166026714}"
2023,17,103920,103920,87-89 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Swiss Club Restaurant,Part Level 1 89 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.97139265375,-37.8154303940914,"{'lon': 144.97139265375, 'lat': -37.8154303940914}"
2023,17,104022,104022,Yarra View Apartments 138-140 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Cento Mani,2 Oliver Lane MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,17,144.970337255,-37.81637223527302,"{'lon': 144.970337255, 'lat': -37.81637223527302}"
2023,17,104027,104027,100-102 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),A Hereford Beefstouw,22 Duckboard Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,125,144.97137050245,-37.81593735798856,"{'lon': 144.97137050245, 'lat': -37.81593735798856}"
2023,17,104028,104028,96-98 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Tonka Bar & Restaurant,20 Duckboard Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,120,144.97147521715,-37.815902008880194,"{'lon': 144.97147521715, 'lat': -37.815902008880194}"
2023,17,110277,110277,11-15 Duckboard Place MELBOURNE VIC 3000,Melbourne (CBD),Lee Ho Fook,11-15 Duckboard Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.97131551255,-37.81559008154641,"{'lon': 144.97131551255, 'lat': -37.81559008154641}"
2023,18,111021,111021,55 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Tom Thumb Espresso,55 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,15,144.97283527125,-37.81485549695003,"{'lon': 144.97283527125, 'lat': -37.81485549695003}"
