census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,lng,lat,location,map_id,infoopen,category,approved,retina
2023,931,110273,110273,Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Parkville,Rail Cafe,Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,4512,Takeaway Food Services,Seats - Outdoor,54,144.95163739897146,-37.78461248815,"{'lon': 144.95163739897146, 'lat': -37.78461248815}",21,0,"Hospitality, Seats - Outdoor, Large (51-200 seats), Takeaway Food Services",1,1
2023,203,109358,109358,832-834 Swanston Street CARLTON VIC 3053,Carlton,Dumpling & Chinese Cuisine,Ground 832 Swanston Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,42,144.96490001863157,-37.7966801769,"{'lon': 144.96490001863157, 'lat': -37.7966801769}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,205,104469,104469,114-152 Grattan Street CARLTON VIC 3053,Carlton,The Studio Beans,"Shop A, Ground 700 Swanston Street CARLTON VIC 3053",4511,Cafes and Restaurants,Seats - Indoor,20,144.96480663662987,-37.7999734556,"{'lon': 144.96480663662987, 'lat': -37.7999734556}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,206,106120,106120,225-229 Lygon Street CARLTON VIC 3053,Carlton,Cafe Corretto,227 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,150,144.96674097624356,-37.8000456107,"{'lon': 144.96674097624356, 'lat': -37.8000456107}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,206,106132,106132,263 Lygon Street CARLTON VIC 3053,Carlton,Lagoon Dining,263 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,30,144.96686884559915,-37.7992971991,"{'lon': 144.96686884559915, 'lat': -37.7992971991}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,207,106143,106143,303 Lygon Street CARLTON VIC 3053,Carlton,Tiamo,303 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,30,144.96708995314958,-37.7982211849,"{'lon': 144.96708995314958, 'lat': -37.7982211849}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,212,633373,633373,497-513 Rathdowne Street CARLTON VIC 3053,Carlton,Rathdowne & Reeves Cafe,Part Ground 497-513 Rathdowne Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,48,144.9707672206,-37.79366092300744,"{'lon': 144.9707672206, 'lat': -37.79366092300744}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,217,103704,103704,194-196 Faraday Street CARLTON VIC 3053,Carlton,Yo-Chi Frozen Yogurt,Ground 194-196 Faraday Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,40,144.96801535650002,-37.798437107314754,"{'lon': 144.96801535650002, 'lat': -37.798437107314754}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,217,103710,103710,176-178 Faraday Street CARLTON VIC 3053,Carlton,Market Lane Coffee,Part 178 Faraday Street CARLTON VIC 3053,4512,Takeaway Food Services,Seats - Indoor,2,144.96848991094998,-37.79857375967063,"{'lon': 144.96848991094998, 'lat': -37.79857375967063}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Takeaway Food Services",1,1
2023,217,106193,106193,368-386 Lygon Street CARLTON VIC 3053,Carlton,Brunetti Classico Carlton,"Shop 17-18, 368-384 Lygon Street CARLTON VIC 3053",4511,Cafes and Restaurants,Seats - Outdoor,100,144.96814846597175,-37.79803960305,"{'lon': 144.96814846597175, 'lat': -37.79803960305}",21,0,"Hospitality, Seats - Outdoor, Large (51-200 seats), Cafes and Restaurants",1,1
