id,no_smoking,level_1_na,addresspt1,event,title,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,lng,lat,map_id,infoopen,category,approved,retina
108268,N,Carlton Gardens,0.0,N,Carlton Gardens:  CG - Lawn 9,0,N,N,N,27,0,,,Y,,Y,0,L,CG - Lawn 9,144.9703352068,-37.8056741051,21,0,1,1,1
103910,Y,Other Park Locations,63.2028553,Y,Other Park Locations:  Ievers Reserve,324,N,N,N,371,107255,,,Y,,N,0,L,Ievers Reserve,144.9531657983,-37.7959601666,21,0,1,1,1
107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_McAlister Ct_F3,0,N,N,N,270,0,Y,,Y,,N,0,L,RP - Lawn 9_McAlister Ct_F3,144.9567574461,-37.7787346221,21,0,1,1,1
107696,N,Princes Park,0.0,N,Princes Park:  PP - Lawn 2_Summer Touch (6),0,N,N,N,215,0,Y,,Y,,N,0,M,PP - Lawn 2_Summer Touch (6),144.9612403618,-37.7866488778,21,0,1,1,1
108268,N,Carlton Gardens,0.0,N,Carlton Gardens:  CG - Lawn 21,0,N,N,N,39,0,,,Y,,Y,0,L,CG - Lawn 21,144.9727227561,-37.8065561898,21,0,1,1,1
107696,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 5 (DOG OFF LEASH),0,N,N,Y,218,0,N,,Y,,N,0,M,PP - Lawn 5 (DOG OFF LEASH),144.9613104298,-37.7806912195,21,0,1,1,1
108269,N,Carlton Gardens,73.72515164,N,Carlton Gardens:  CG - Lawn 3,83,N,N,N,21,101736,,,Y,,Y,0,L,CG - Lawn 3,144.9729865712,-37.8016526316,21,0,1,1,1
106097,N,Other Park Locations,61.96847942,Y,Other Park Locations:  Argyle Square Stage Only,83,N,N,N,1362,100575,,,Y,,N,0,L,Argyle Square Stage Only,144.9658888797,-37.8024373031,21,0,1,1,1
106380,N,Other Park Locations,41.56399607,Y,Other Park Locations:  Hardy Reserve,177,N,N,N,365,106380,,,Y,,N,0,L,Hardy Reserve,144.9664796354,-37.7853982866,21,0,1,1,1
107696,N,Princes Park,0.0,N,Princes Park:  PP - Ct2,0,N,N,N,207,0,Y,,Y,,N,0,M,PP - Ct2,144.9612333391,-37.7878801383,21,0,1,1,1
110906,N,Other Park Locations,8.84776937,Y,"Other Park Locations:  Hawke, Miller & Curzon St",328,N,N,N,369,110906,,,Y,,N,0,L,"Hawke, Miller & Curzon St",144.9477115593,-37.8060667418,21,0,1,1,1
107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Western Ct_F1_L1_L2,0,N,N,N,272,0,Y,,Y,,N,0,L,RP - Lawn 9_Western Ct_F1_L1_L2,144.9530654381,-37.7781007383,21,0,1,1,1
108268,N,Carlton Gardens,78.56806687,Y,Carlton Gardens:  CG - Lawn 10/Dalai Lama Peace Garden,164,N,N,N,28,108154,,,Y,,Y,0,L,CG - Lawn 10/Dalai Lama Peace Garden,144.9697226043,-37.8062366839,21,0,1,1,1
101395,N,Other Park Locations,6.92606023,Y,Other Park Locations:  Pleasance Gardens,254,N,N,N,384,101395,,,Y,,N,0,L,Pleasance Gardens,144.9456594252,-37.7963471994,21,0,1,1,1
107426,N,Royal Park,6.46392703,N,Royal Park:  RP - Poplar Pavilion,302,N,N,N,284,110274,Y,,Y,,N,0,L,RP - Poplar Pavilion,144.9558837699,-37.78138585,21,0,1,1,1
107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B1 East,0,N,N,N,264,0,Y,,Y,,N,0,L,RP - Ross Straw Field B1 East,144.9427921184,-37.7839840173,21,0,1,1,1
107426,N,Royal Park,79.76690737,N,Royal Park:  RP - Lawn 14_Poplar Cs_S2,208,N,N,Y,274,110274,Y,,Y,,N,0,L,RP - Lawn 14_Poplar Cs_S2,144.9567311804,-37.7811147025,21,0,1,1,1
106097,N,Promotional Spaces,53.1618369,Y,Promotional Spaces:  Piazza Italia,335,N,N,N,1214,106097,,,Y,,N,0,,Piazza Italia,144.9658350877,-37.8027403024,21,0,1,1,1
107696,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 3 / Northern CarPark,0,Y,N,N,216,0,Y,,Y,,N,0,M,PP - Lawn 3 / Northern CarPark,144.9616814312,-37.7823486699,21,0,1,1,1
107223,Y,Other Park Locations,10.15483954,Y,Other Park Locations:  Canning & Palmerston,258,N,N,N,347,107223,,,Y,,N,0,L,Canning & Palmerston,144.972844348,-37.7963102388,21,0,1,1,1
