lat,lng,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description,map_id,infoopen,category,approved,retina
-37.79596017,144.9531658,"{""coordinates"":[144.95316579832524,-37.79596016662455],""type"":""Point""}",103910.0,Y,Other Park Locations,63.2028553,Y,Other Park Locations:  Ievers Reserve,324.0,N,N,N,371.0,107255.0,,,Y,,N,0.0,L,Ievers Reserve,Other Park Locations:  Ievers Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79631024,144.9728443,"{""coordinates"":[144.97284434800815,-37.796310238750024],""type"":""Point""}",107223.0,Y,Other Park Locations,10.15483954,Y,Other Park Locations:  Canning & Palmerston,258.0,N,N,N,347.0,107223.0,,,Y,,N,0.0,L,Canning & Palmerston,Other Park Locations:  Canning & Palmerston,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.7963472,144.9456594,"{""coordinates"":[144.94565942520038,-37.796347199359644],""type"":""Point""}",101395.0,N,Other Park Locations,6.92606023,Y,Other Park Locations:  Pleasance Gardens,254.0,N,N,N,384.0,101395.0,,,Y,,N,0.0,L,Pleasance Gardens,Other Park Locations:  Pleasance Gardens,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79635845,144.9391193,"{""coordinates"":[144.93911928904672,-37.796358453208505],""type"":""Point""}",106339.0,N,Other Park Locations,42.40450422,Y,Other Park Locations:  Clayton Reserve,64.0,N,N,Y,351.0,106339.0,,,Y,,N,0.0,L,Clayton Reserve,Other Park Locations:  Clayton Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79836617,144.9715673,"{""coordinates"":[144.97156729933138,-37.798366165372386],""type"":""Point""}",106290.0,N,Other Park Locations,10.18379338,Y,Other Park Locations:  Macarthur Square,70.0,N,N,N,378.0,106290.0,,,Y,,N,0.0,L,Macarthur Square,Other Park Locations:  Macarthur Square,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79905532,144.9413118,"{""coordinates"":[144.94131177323902,-37.799055317643926],""type"":""Point""}",100514.0,N,Other Park Locations,0.0,Y,Other Park Locations:  North Melbourne Recreation Reserve,0.0,N,N,Y,1248.0,0.0,,,Y,,N,0.0,L,North Melbourne Recreation Reserve,Other Park Locations:  North Melbourne Recreation Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79911473,144.9437339,"{""coordinates"":[144.94373386693263,-37.79911472938728],""type"":""Point""}",102913.0,Y,Other Park Locations,29.86978579,Y,Other Park Locations:  Gardiner Reserve,29.0,N,N,N,360.0,102913.0,,,Y,,N,0.0,L,Gardiner Reserve,Other Park Locations:  Gardiner Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.79953758,144.9504498,"{""coordinates"":[144.95044984461694,-37.79953758061649],""type"":""Point""}",103485.0,N,Other Park Locations,32.62300772,Y,Other Park Locations:  Errol St Reserve,172.0,N,N,N,358.0,103453.0,,,Y,,N,0.0,L,Errol St Reserve,Other Park Locations:  Errol St Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.80021408,144.9730699,"{""coordinates"":[144.97306989164414,-37.80021407728376],""type"":""Point""}",106828.0,N,Other Park Locations,24.86003702,Y,Other Park Locations:  Murchison Square,79.0,N,N,N,381.0,524046.0,,,Y,,N,0.0,L,Murchison Square,Other Park Locations:  Murchison Square,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.80099817,144.9602987,"{""coordinates"":[144.9602987202407,-37.800998173908575],""type"":""Point""}",107552.0,N,Other Park Locations,65.5112548,Y,Other Park Locations:  University Square,169.0,Y,N,N,400.0,502486.0,,,Y,,N,0.0,L,University Square,Other Park Locations:  University Square,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
