id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: addresspt1,Custom Field: addresspt_,Custom Field: addressp_1,Custom Field: bookable,Custom Field: dog_off_le,Custom Field: dog_prohib,Custom Field: event,Custom Field: full_name,Custom Field: geo_shape,Custom Field: level_1_na,Custom Field: level_2_na,Custom Field: level_3_na,Custom Field: no_smoking,Custom Field: prop_id,Custom Field: roadseg_id,Custom Field: sport,Custom Field: sustainabi,Custom Field: training,Custom Field: venue_recn,Custom Field: wedding,ref,num_spaces,safe_city,Geo Shape,night_only
,21,"-37.812440458076, 144.967797296914",Russell Street between Bourke Street and Little Bourke Street,,,,-37.812440458076,144.967797296914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,No,"{""coordinates"": [144.967797296914, -37.812440458076], ""type"": ""Point""}",No
,21,"-37.814517780445, 144.970145954136",Collins Street between Exhibition Street and Russell Street,,,,-37.814517780445,144.970145954136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4,No,"{""coordinates"": [144.970145954136, -37.814517780445], ""type"": ""Point""}",No
,21,"-37.814563551834, 144.963408261204",Elizabeth Street between Little Collins Street and Bourke Street,,,,-37.814563551834,144.963408261204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,No,"{""coordinates"": [144.963408261204, -37.814563551834], ""type"": ""Point""}",No
,21,"-37.817920052074, 144.9654329988",Flinders Street between Swanston Street and Elizabeth Street,,,,-37.817920052074,144.9654329988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,No,"{""coordinates"": [144.9654329988, -37.817920052074], ""type"": ""Point""}",Yes
,21,"-37.808054210289, 144.955752211867",Peel Street between Dudley Street and Victoria Street,,,,-37.808054210289,144.955752211867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,No,"{""coordinates"": [144.955752211867, -37.808054210289], ""type"": ""Point""}",No
,21,"-37.814216559397, 144.967145459973",Little Collins Street between Russell Street and Swanston Street,,,,-37.814216559397,144.967145459973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,No,"{""coordinates"": [144.967145459973, -37.814216559397], ""type"": ""Point""}",No
,21,"-37.811352496759, 144.970230826446",Exhibition Street between Bourke Street and Little Bourke Street,,,,-37.811352496759,144.970230826446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5,No,"{""coordinates"": [144.970230826446, -37.811352496759], ""type"": ""Point""}",No
,21,"-37.807629761424, 144.962259426442",Franklin Street between Swanston Street and Elizabeth Street,,,,-37.807629761424,144.962259426442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,6,No,"{""coordinates"": [144.962259426442, -37.807629761424], ""type"": ""Point""}",No
,21,"-37.814787756561, 144.96609420339",Swanston Street between Collins Street and Little Collins Street,,,,-37.814787756561,144.96609420339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,No,"{""coordinates"": [144.96609420339, -37.814787756561], ""type"": ""Point""}",No
,21,"-37.815002267138, 144.969234562672",Russell Street between Flinders Lane and Collins Street,,,,-37.815002267138,144.969234562672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3,No,"{""coordinates"": [144.969234562672, -37.815002267138], ""type"": ""Point""}",No
,21,"-37.816714445959, 144.954206016717",Bourke Street between King Street and Spencer Street,,,,-37.816714445959,144.954206016717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,3,No,"{""coordinates"": [144.954206016717, -37.816714445959], ""type"": ""Point""}",No
,21,"-37.815580334736, 144.960841715904",Queen Street between Little Collins Street and Bourke Street,,,,-37.815580334736,144.960841715904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,Yes,"{""coordinates"": [144.960841715904, -37.815580334736], ""type"": ""Point""}",Yes
,21,"-37.811277451142, 144.973304242296",Parliament House,,,,-37.811277451142,144.973304242296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,No,"{""coordinates"": [144.973304242296, -37.811277451142], ""type"": ""Point""}",No
,21,"-37.812251944281, 144.964915329338",Swanston Street between Little Bourke Street and Lonsdale Street,,,,-37.812251944281,144.964915329338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,No,"{""coordinates"": [144.964915329338, -37.812251944281], ""type"": ""Point""}",No
,21,"-37.845620660866, 144.983855969458",Commercial Road between St Kilda Road and Punt Road,,,,-37.845620660866,144.983855969458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,10,No,"{""coordinates"": [144.983855969458, -37.845620660866], ""type"": ""Point""}",No
,21,"-37.811622431711, 144.971817800282",Bourke Street between Spring Street and Exhibition Street,,,,-37.811622431711,144.971817800282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3,Yes,"{""coordinates"": [144.971817800282, -37.811622431711], ""type"": ""Point""}",No
,21,"-37.815090125208, 144.969020896889",Russell Street between Flinders Lane and Collins Street,,,,-37.815090125208,144.969020896889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,No,"{""coordinates"": [144.969020896889, -37.815090125208], ""type"": ""Point""}",No
